código,nome do território,ano,concelhos apurados,concelhos por apurar,total de concelhos,freguesias apuradas,freguesias por apurar,total de freguesias,consulados apurados,consulados por apurar,total de consulados,inscritos,votos,% votos,brancos,% brancos,nulos,% nulos,mandatos,mandatos por atribuir,opção 1,votos 1,% votos1,mandatos 1,opção 2,votos 2,% votos2,mandatos 2,opção 3,votos 3,% votos3,mandatos 3,opção 4,votos 4,% votos4,mandatos 4,opção 5,votos 5,% votos5,mandatos 5,opção 6,votos 6,% votos6,mandatos 6,opção 7,votos 7,% votos7,mandatos 7,opção 8,votos 8,% votos8,mandatos 8,opção 9,votos 9,% votos9,mandatos 9,opção 10,votos 10,% votos10,mandatos 10,opção 11,votos 11,% votos11,mandatos 11,opção 12,votos 12,% votos12,mandatos 12,opção 13,votos 13,% votos13,mandatos 13,opção 14,votos 14,% votos14,mandatos 14,opção 15,votos 15,% votos15,mandatos 15,opção 16,votos 16,% votos16,mandatos 16,opção 17,votos 17,% votos17,mandatos 17,opção 18,votos 18,% votos18,mandatos 18,opção 19,votos 19,% votos19,mandatos 19,opção 20,votos 20,% votos20,mandatos 20
80000,Faro,2024,16,0,16,67,0,67,,,,382586,236193,61.74,3407,1.44,2779,1.18,9,0,ADN,4926,2.09,0,B.E.,13579,5.75,0,CH,64228,27.19,3,E,330,0.14,0,IL,10761,4.56,0,JPP,611,0.26,0,L,6501,2.75,0,,,,,,,,,ND,782,0.33,0,PAN,6098,2.58,0,PCP-PEV,7518,3.18,0,,,,,,,,,PPD/PSD.CDS-PP.PPM,52885,22.39,3,,,,,PS,60123,25.46,3,,,,,R.I.R.,1074,0.45,0,VP,591,0.25,0
90000,Guarda,2024,14,0,14,242,0,242,,,,141431,85103,60.17,1163,1.37,1333,1.57,3,0,ADN,2181,2.56,0,B.E.,2301,2.7,0,CH,15821,18.59,1,E,165,0.19,0,IL,1913,2.25,0,,,,,L,1151,1.35,0,MPT.A,80,0.09,0,,,,,ND,292,0.34,0,PAN,821,0.96,0,PCP-PEV,1332,1.57,0,,,,,,,,,PPD/PSD.CDS-PP.PPM,29033,34.12,1,,,,,PS,27133,31.88,1,,,,,R.I.R.,289,0.34,0,VP,95,0.11,0
100000,Leiria,2024,16,0,16,110,0,110,,,,412184,273515,66.36,5081,1.86,3560,1.3,10,0,ADN,4560,1.67,0,B.E.,11736,4.29,0,CH,53764,19.66,2,E,340,0.12,0,IL,15446,5.65,0,,,,,L,7197,2.63,0,MPT.A,306,0.11,0,,,,,ND,741,0.27,0,PAN,4645,1.7,0,PCP-PEV,6600,2.41,0,,,,,,,,,PPD/PSD.CDS-PP.PPM,96311,35.21,5,,,,,PS,61535,22.5,3,,,,,R.I.R.,1141,0.42,0,VP,552,0.2,0
110000,Lisboa,2024,16,0,16,134,0,134,,,,1915172,1319139,68.88,15711,1.19,13820,1.05,48,0,ADN,19074,1.45,0,B.E.,65438,4.96,2,CH,224526,17.02,9,E,1000,0.08,0,IL,86847,6.58,3,JPP,848,0.06,0,L,72102,5.47,2,MPT.A,1174,0.09,0,,,,,ND,2365,0.18,0,PAN,32829,2.49,1,PCP-PEV,49257,3.73,2,PCTP/MRPP,4464,0.34,0,,,,,PPD/PSD.CDS-PP.PPM,356698,27.04,14,,,,,PS,365838,27.73,15,PTP,1331,0.1,0,R.I.R.,2854,0.22,0,VP,2963,0.22,0
120000,Portalegre,2024,15,0,15,69,0,69,,,,93106,60662,65.15,920,1.52,645,1.06,2,0,ADN,631,1.04,0,B.E.,1894,3.12,0,CH,14915,24.59,1,E,54,0.09,0,IL,1146,1.89,0,,,,,L,873,1.44,0,MPT.A,31,0.05,0,,,,,ND,121,0.2,0,PAN,506,0.83,0,PCP-PEV,3604,5.94,0,PCTP/MRPP,303,0.5,0,,,,,PPD/PSD.CDS-PP.PPM,14132,23.3,0,,,,,PS,20658,34.05,1,,,,,R.I.R.,176,0.29,0,VP,53,0.09,0
130000,Porto,2024,18,0,18,243,0,243,,,,1591759,1114868,70.04,14404,1.29,11035,0.99,40,0,ADN,19585,1.76,0,B.E.,51909,4.66,2,CH,170910,15.33,7,E,740,0.07,0,IL,64050,5.75,2,JPP,1150,0.1,0,L,37319,3.35,1,,,,,NC,788,0.07,0,ND,1786,0.16,0,PAN,23415,2.1,0,PCP-PEV,26343,2.36,1,PCTP/MRPP,3444,0.31,0,,,,,PPD/PSD.CDS-PP.PPM,339096,30.42,14,,,,,PS,338084,30.33,13,,,,,R.I.R.,9163,0.82,0,VP,1647,0.15,0
140000,Santarém,2024,21,0,21,141,0,141,,,,377261,251064,66.55,3868,1.54,2939,1.17,9,0,ADN,3505,1.4,0,B.E.,11204,4.46,0,CH,58554,23.32,3,E,363,0.14,0,IL,9492,3.78,0,,,,,L,6186,2.46,0,MPT.A,295,0.12,0,,,,,ND,463,0.18,0,PAN,3926,1.56,0,PCP-PEV,10343,4.12,0,,,,,,,,,PPD/PSD.CDS-PP.PPM,68493,27.28,3,,,,,PS,69915,27.85,3,,,,,R.I.R.,951,0.38,0,VP,567,0.23,0
150000,Setúbal,2024,13,0,13,55,0,55,,,,751292,502587,66.9,6256,1.24,5074,1.01,19,0,ADN,7661,1.52,0,B.E.,30161,6,1,CH,102077,20.31,4,E,558,0.11,0,IL,26941,5.36,1,JPP,430,0.09,0,L,21552,4.29,1,MPT.A,438,0.09,0,,,,,ND,1235,0.25,0,PAN,12856,2.56,0,PCP-PEV,38841,7.73,1,PCTP/MRPP,2363,0.47,0,,,,,PPD/PSD.CDS-PP.PPM,86297,17.17,4,,,,,PS,157166,31.27,7,PTP,393,0.08,0,R.I.R.,1323,0.26,0,VP,965,0.19,0
160000,Viana do Castelo,2024,10,0,10,208,0,208,,,,233491,142913,61.21,2682,1.88,1539,1.08,5,0,ADN,2263,1.58,0,B.E.,4926,3.45,0,CH,26635,18.64,1,E,147,0.1,0,IL,5106,3.57,0,,,,,L,2813,1.97,0,MPT.A,204,0.14,0,,,,,ND,706,0.49,0,PAN,2057,1.44,0,PCP-PEV,3106,2.17,0,,,,,,,,,PPD/PSD.CDS-PP.PPM,49613,34.72,2,,,,,PS,40237,28.15,2,,,,,R.I.R.,624,0.44,0,VP,255,0.18,0
170000,Vila Real,2024,14,0,14,197,0,197,,,,208667,117056,56.1,1494,1.28,1546,1.32,5,0,ADN,2958,2.53,0,B.E.,2865,2.45,0,CH,20032,17.11,1,E,117,0.1,0,IL,2378,2.03,0,,,,,L,1592,1.36,0,,,,,,,,,ND,278,0.24,0,PAN,1062,0.91,0,PCP-PEV,1599,1.37,0,,,,,,,,,PPD/PSD.CDS-PP.PPM,46040,39.33,2,,,,,PS,34654,29.6,2,,,,,R.I.R.,319,0.27,0,VP,122,0.1,0
180000,Viseu,2024,24,0,24,277,0,277,,,,335659,211586,63.04,3302,1.56,2627,1.24,8,0,ADN,6615,3.13,0,B.E.,5846,2.76,0,CH,41159,19.45,2,E,164,0.08,0,IL,5948,2.81,0,,,,,L,3566,1.69,0,MPT.A,179,0.08,0,,,,,ND,544,0.26,0,PAN,2554,1.21,0,PCP-PEV,2905,1.37,0,,,,,,,,,PPD/PSD.CDS-PP.PPM,76927,36.36,3,,,,,PS,58077,27.45,3,,,,,R.I.R.,831,0.39,0,VP,342,0.16,0
300000,Madeira,2024,11,0,11,54,0,54,,,,254502,149783,58.85,794,0.53,2685,1.79,6,0,ADN,2348,1.57,0,B.E.,4404,2.94,0,CH,26296,17.56,1,E,239,0.16,0,IL,5827,3.89,0,JPP,14344,9.58,0,L,1864,1.24,0,MPT.A,228,0.15,0,NC,305,0.2,0,,,,,PAN,3127,2.09,0,PCP-PEV,2429,1.62,0,,,,,PPD/PSD.CDS-PP,52992,35.38,3,,,,,PPM,451,0.3,0,PS,29723,19.84,2,PTP,719,0.48,0,R.I.R.,725,0.48,0,VP,283,0.19,0
400000,Açores,2024,19,0,19,156,0,156,,,,230082,106273,46.19,2621,2.47,1070,1.01,5,0,ADN,829,0.78,0,B.E.,3622,3.41,0,CH,16744,15.76,1,E,64,0.06,0,IL,2882,2.71,0,JPP,213,0.2,0,L,1816,1.71,0,,,,,,,,,,,,,PAN,1654,1.56,0,PCP-PEV,1160,1.09,0,,,,,,,,,PPD/PSD.CDS-PP.PPM,42343,39.84,2,,,,,PS,31015,29.18,2,,,,,R.I.R.,125,0.12,0,VP,115,0.11,0
10100,Águeda,2024,1,0,1,11,0,11,,,,41936,27297,65.09,509,1.86,297,1.09,,,ADN,440,1.61,,B.E.,915,3.35,,CH,5285,19.36,,E,17,0.06,,IL,1247,4.57,,,,,,L,441,1.62,,MPT.A,11,0.04,,,,,,ND,65,0.24,,PAN,322,1.18,,PCP-PEV,358,1.31,,PCTP/MRPP,75,0.27,,,,,,PPD/PSD.CDS-PP.PPM,9627,35.27,,,,,,PS,7570,27.73,,,,,,R.I.R.,85,0.31,,VP,33,0.12,
10200,Albergaria-a-Velha,2024,1,0,1,6,0,6,,,,22449,14562,64.87,249,1.71,175,1.2,,,ADN,274,1.88,,B.E.,465,3.19,,CH,3117,21.41,,E,8,0.05,,IL,595,4.09,,,,,,L,288,1.98,,MPT.A,8,0.05,,,,,,ND,26,0.18,,PAN,222,1.52,,PCP-PEV,149,1.02,,PCTP/MRPP,42,0.29,,,,,,PPD/PSD.CDS-PP.PPM,5433,37.31,,,,,,PS,3414,23.44,,,,,,R.I.R.,77,0.53,,VP,20,0.14,
10300,Anadia,2024,1,0,1,10,0,10,,,,25583,16120,63.01,365,2.26,154,0.96,,,ADN,272,1.69,,B.E.,510,3.16,,CH,2857,17.72,,E,11,0.07,,IL,721,4.47,,,,,,L,301,1.87,,MPT.A,8,0.05,,,,,,ND,56,0.35,,PAN,246,1.53,,PCP-PEV,207,1.28,,PCTP/MRPP,40,0.25,,,,,,PPD/PSD.CDS-PP.PPM,6604,40.97,,,,,,PS,3663,22.72,,,,,,R.I.R.,78,0.48,,VP,27,0.17,
10400,Arouca,2024,1,0,1,16,0,16,,,,19670,13427,68.26,246,1.83,116,0.86,,,ADN,222,1.65,,B.E.,312,2.32,,CH,2200,16.38,,E,12,0.09,,IL,436,3.25,,,,,,L,177,1.32,,MPT.A,7,0.05,,,,,,ND,52,0.39,,PAN,159,1.18,,PCP-PEV,130,0.97,,PCTP/MRPP,37,0.28,,,,,,PPD/PSD.CDS-PP.PPM,5919,44.08,,,,,,PS,3292,24.52,,,,,,R.I.R.,93,0.69,,VP,17,0.13,
10500,Aveiro,2024,1,0,1,10,0,10,,,,70221,47237,67.27,864,1.83,445,0.94,,,ADN,524,1.11,,B.E.,2442,5.17,,CH,7711,16.32,,E,33,0.07,,IL,3041,6.44,,,,,,L,1747,3.7,,MPT.A,14,0.03,,,,,,ND,92,0.19,,PAN,930,1.97,,PCP-PEV,696,1.47,,PCTP/MRPP,107,0.23,,,,,,PPD/PSD.CDS-PP.PPM,16506,34.94,,,,,,PS,11901,25.19,,,,,,R.I.R.,122,0.26,,VP,62,0.13,
10600,Castelo de Paiva,2024,1,0,1,6,0,6,,,,14016,9496,67.75,131,1.38,141,1.48,,,ADN,108,1.14,,B.E.,252,2.65,,CH,1337,14.08,,E,5,0.05,,IL,263,2.77,,,,,,L,124,1.31,,MPT.A,5,0.05,,,,,,ND,26,0.27,,PAN,112,1.18,,PCP-PEV,79,0.83,,PCTP/MRPP,20,0.21,,,,,,PPD/PSD.CDS-PP.PPM,3478,36.63,,,,,,PS,3274,34.48,,,,,,R.I.R.,133,1.4,,VP,8,0.08,
10700,Espinho,2024,1,0,1,4,0,4,,,,29326,20356,69.41,276,1.36,213,1.05,,,ADN,268,1.32,,B.E.,792,3.89,,CH,2593,12.74,,E,26,0.13,,IL,1028,5.05,,,,,,L,486,2.39,,MPT.A,10,0.05,,,,,,ND,49,0.24,,PAN,396,1.95,,PCP-PEV,567,2.79,,PCTP/MRPP,87,0.43,,,,,,PPD/PSD.CDS-PP.PPM,6756,33.19,,,,,,PS,6709,32.96,,,,,,R.I.R.,69,0.34,,VP,31,0.15,
10800,Estarreja,2024,1,0,1,5,0,5,,,,24018,14578,60.7,264,1.81,172,1.18,,,ADN,217,1.49,,B.E.,553,3.79,,CH,2869,19.68,,E,9,0.06,,IL,710,4.87,,,,,,L,254,1.74,,MPT.A,5,0.03,,,,,,ND,44,0.3,,PAN,213,1.46,,PCP-PEV,337,2.31,,PCTP/MRPP,37,0.25,,,,,,PPD/PSD.CDS-PP.PPM,4781,32.8,,,,,,PS,4040,27.71,,,,,,R.I.R.,50,0.34,,VP,23,0.16,
10900,Santa Maria da Feira,2024,1,0,1,21,0,21,,,,126650,86932,68.64,1249,1.44,896,1.03,,,ADN,1050,1.21,,B.E.,3722,4.28,,CH,14310,16.46,,E,103,0.12,,IL,4763,5.48,,,,,,L,1845,2.12,,MPT.A,47,0.05,,,,,,ND,208,0.24,,PAN,1694,1.95,,PCP-PEV,1113,1.28,,PCTP/MRPP,285,0.33,,,,,,PPD/PSD.CDS-PP.PPM,28382,32.65,,,,,,PS,26645,30.65,,,,,,R.I.R.,487,0.56,,VP,133,0.15,
11000,Ílhavo,2024,1,0,1,4,0,4,,,,36248,22175,61.18,443,2,236,1.06,,,ADN,300,1.35,,B.E.,1100,4.96,,CH,4625,20.86,,E,15,0.07,,IL,1339,6.04,,,,,,L,694,3.13,,MPT.A,22,0.1,,,,,,ND,45,0.2,,PAN,484,2.18,,PCP-PEV,247,1.11,,PCTP/MRPP,48,0.22,,,,,,PPD/PSD.CDS-PP.PPM,7321,33.01,,,,,,PS,5142,23.19,,,,,,R.I.R.,87,0.39,,VP,27,0.12,
11100,Mealhada,2024,1,0,1,6,0,6,,,,17706,11227,63.41,282,2.51,118,1.05,,,ADN,122,1.09,,B.E.,653,5.82,,CH,1854,16.51,,E,5,0.04,,IL,534,4.76,,,,,,L,284,2.53,,MPT.A,6,0.05,,,,,,ND,29,0.26,,PAN,175,1.56,,PCP-PEV,262,2.33,,PCTP/MRPP,42,0.37,,,,,,PPD/PSD.CDS-PP.PPM,2979,26.53,,,,,,PS,3826,34.08,,,,,,R.I.R.,45,0.4,,VP,11,0.1,
11200,Murtosa,2024,1,0,1,4,0,4,,,,9918,5190,52.33,95,1.83,53,1.02,,,ADN,76,1.46,,B.E.,177,3.41,,CH,1129,21.75,,E,2,0.04,,IL,222,4.28,,,,,,L,84,1.62,,MPT.A,3,0.06,,,,,,ND,16,0.31,,PAN,75,1.45,,PCP-PEV,54,1.04,,PCTP/MRPP,18,0.35,,,,,,PPD/PSD.CDS-PP.PPM,2148,41.39,,,,,,PS,1002,19.31,,,,,,R.I.R.,29,0.56,,VP,7,0.13,
11300,Oliveira de Azeméis,2024,1,0,1,12,0,12,,,,60480,40659,67.23,592,1.46,512,1.26,,,ADN,568,1.4,,B.E.,1594,3.92,,CH,6758,16.62,,E,41,0.1,,IL,1966,4.84,,,,,,L,809,1.99,,MPT.A,21,0.05,,,,,,ND,102,0.25,,PAN,733,1.8,,PCP-PEV,371,0.91,,PCTP/MRPP,117,0.29,,,,,,PPD/PSD.CDS-PP.PPM,13486,33.17,,,,,,PS,12712,31.26,,,,,,R.I.R.,201,0.49,,VP,76,0.19,
11400,Oliveira do Bairro,2024,1,0,1,4,0,4,,,,20898,13416,64.2,224,1.67,145,1.08,,,ADN,253,1.89,,B.E.,362,2.7,,CH,3010,22.44,,E,20,0.15,,IL,719,5.36,,,,,,L,167,1.24,,MPT.A,7,0.05,,,,,,ND,44,0.33,,PAN,156,1.16,,PCP-PEV,109,0.81,,PCTP/MRPP,28,0.21,,,,,,PPD/PSD.CDS-PP.PPM,6088,45.38,,,,,,PS,2018,15.04,,,,,,R.I.R.,54,0.4,,VP,12,0.09,
11500,Ovar,2024,1,0,1,5,0,5,,,,50902,33500,65.81,616,1.84,339,1.01,,,ADN,339,1.01,,B.E.,1955,5.84,,CH,5006,14.94,,E,32,0.1,,IL,1832,5.47,,,,,,L,874,2.61,,MPT.A,15,0.04,,,,,,ND,70,0.21,,PAN,703,2.1,,PCP-PEV,668,1.99,,PCTP/MRPP,125,0.37,,,,,,PPD/PSD.CDS-PP.PPM,10013,29.89,,,,,,PS,10697,31.93,,,,,,R.I.R.,153,0.46,,VP,63,0.19,
11600,São João da Madeira,2024,1,0,1,1,0,1,,,,19533,13342,68.3,184,1.38,141,1.06,,,ADN,119,0.89,,B.E.,596,4.47,,CH,1726,12.94,,E,4,0.03,,IL,737,5.52,,,,,,L,356,2.67,,MPT.A,3,0.02,,,,,,ND,33,0.25,,PAN,217,1.63,,PCP-PEV,236,1.77,,PCTP/MRPP,41,0.31,,,,,,PPD/PSD.CDS-PP.PPM,3911,29.31,,,,,,PS,4989,37.39,,,,,,R.I.R.,29,0.22,,VP,20,0.15,
11700,Sever do Vouga,2024,1,0,1,7,0,7,,,,10307,7200,69.86,110,1.53,66,0.92,,,ADN,108,1.5,,B.E.,179,2.49,,CH,1396,19.39,,E,5,0.07,,IL,251,3.49,,,,,,L,134,1.86,,MPT.A,2,0.03,,,,,,ND,21,0.29,,PAN,71,0.99,,PCP-PEV,68,0.94,,PCTP/MRPP,12,0.17,,,,,,PPD/PSD.CDS-PP.PPM,3382,46.97,,,,,,PS,1365,18.96,,,,,,R.I.R.,25,0.35,,VP,5,0.07,
11800,Vagos,2024,1,0,1,8,0,8,,,,22338,13540,60.61,176,1.3,141,1.04,,,ADN,285,2.1,,B.E.,324,2.39,,CH,2987,22.06,,E,6,0.04,,IL,585,4.32,,,,,,L,235,1.74,,MPT.A,6,0.04,,,,,,ND,50,0.37,,PAN,183,1.35,,PCP-PEV,95,0.7,,PCTP/MRPP,24,0.18,,,,,,PPD/PSD.CDS-PP.PPM,6641,49.05,,,,,,PS,1750,12.92,,,,,,R.I.R.,32,0.24,,VP,20,0.15,
11900,Vale de Cambra,2024,1,0,1,7,0,7,,,,19887,13517,67.97,156,1.15,217,1.61,,,ADN,208,1.54,,B.E.,455,3.37,,CH,2340,17.31,,E,8,0.06,,IL,682,5.05,,,,,,L,210,1.55,,MPT.A,6,0.04,,,,,,ND,48,0.36,,PAN,209,1.55,,PCP-PEV,104,0.77,,PCTP/MRPP,30,0.22,,,,,,PPD/PSD.CDS-PP.PPM,5406,39.99,,,,,,PS,3339,24.7,,,,,,R.I.R.,84,0.62,,VP,15,0.11,
20100,Aljustrel,2024,1,0,1,4,0,4,,,,7761,5203,67.04,66,1.27,73,1.4,,,ADN,33,0.63,,B.E.,242,4.65,,CH,1092,20.99,,E,3,0.06,,IL,75,1.44,,,,,,L,66,1.27,,,,,,,,,,ND,9,0.17,,PAN,58,1.11,,PCP-PEV,1177,22.62,,PCTP/MRPP,61,1.17,,,,,,PPD/PSD.CDS-PP.PPM,445,8.55,,,,,,PS,1787,34.35,,,,,,R.I.R.,5,0.1,,VP,11,0.21,
20200,Almodôvar,2024,1,0,1,6,0,6,,,,5982,3884,64.93,42,1.08,68,1.75,,,ADN,68,1.75,,B.E.,140,3.6,,CH,892,22.97,,E,9,0.23,,IL,76,1.96,,,,,,L,53,1.36,,,,,,,,,,ND,11,0.28,,PAN,43,1.11,,PCP-PEV,213,5.48,,PCTP/MRPP,25,0.64,,,,,,PPD/PSD.CDS-PP.PPM,880,22.66,,,,,,PS,1337,34.42,,,,,,R.I.R.,21,0.54,,VP,6,0.15,
20300,Alvito,2024,1,0,1,2,0,2,,,,1850,1233,66.65,19,1.54,16,1.3,,,ADN,11,0.89,,B.E.,84,6.81,,CH,306,24.82,,E,1,0.08,,IL,12,0.97,,,,,,L,19,1.54,,,,,,,,,,ND,0,0,,PAN,17,1.38,,PCP-PEV,161,13.06,,PCTP/MRPP,15,1.22,,,,,,PPD/PSD.CDS-PP.PPM,212,17.19,,,,,,PS,352,28.55,,,,,,R.I.R.,7,0.57,,VP,1,0.08,
20400,Barrancos,2024,1,0,1,1,0,1,,,,1262,773,61.25,21,2.72,11,1.42,,,ADN,8,1.03,,B.E.,23,2.98,,CH,176,22.77,,E,1,0.13,,IL,16,2.07,,,,,,L,6,0.78,,,,,,,,,,ND,0,0,,PAN,5,0.65,,PCP-PEV,143,18.5,,PCTP/MRPP,2,0.26,,,,,,PPD/PSD.CDS-PP.PPM,123,15.91,,,,,,PS,236,30.53,,,,,,R.I.R.,1,0.13,,VP,1,0.13,
20500,Beja,2024,1,0,1,12,0,12,,,,28392,18701,65.87,263,1.41,205,1.1,,,ADN,164,0.88,,B.E.,818,4.37,,CH,3946,21.1,,E,16,0.09,,IL,490,2.62,,,,,,L,338,1.81,,,,,,,,,,ND,12,0.06,,PAN,251,1.34,,PCP-PEV,2811,15.03,,PCTP/MRPP,109,0.58,,,,,,PPD/PSD.CDS-PP.PPM,3749,20.05,,,,,,PS,5471,29.26,,,,,,R.I.R.,31,0.17,,VP,27,0.14,
